Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,Testing_Rate,People_Hospitalized,Hospitalized_Rate,Mortality_Rate,UID,ISO3
Manitoba,Canada,,53.7609,-98.8139,221,3,0,218,,16.043359174514723,,,,,1.3574660633484164,12403,CAN
Martinique,France,,14.6415,-61.0242,154,6,50,98,,41.037666715521034,,,,,3.896103896103896,474,MTQ
Mayotte,France,,-12.8275,45.166244,184,2,22,160,,67.44546630842372,,,,,1.0869565217391304,175,MYT
Montserrat,United Kingdom,,16.742498,-62.187366,9,0,0,9,,180.0360072014403,,,,,0.0,500,MSR
New Brunswick,Canada,,46.5653,-66.4619,108,0,0,108,,13.846278107624043,,,,,0.0,12404,CAN
New Caledonia,France,,-20.904305,165.618042,18,0,1,17,,6.304927300685486,,,,,0.0,540,NCL
New South Wales,Australia,,-33.8688,151.2093,2734,21,4,2709,,33.67824587336782,,,,,0.7681053401609363,3602,AUS
Newfoundland and Labrador,Canada,,53.1355,-57.6604,232,2,0,230,,44.49857585376847,,,,,0.8620689655172413,12405,CAN
Ningxia,China,,37.2692,106.1655,75,0,75,0,,1.0901162790697674,,,,,0.0,15620,CHN
Northern Territory,Australia,,-12.4634,130.8456,28,0,2,26,,11.400651465798045,,,,,0.0,3603,AUS
Northwest Territories,Canada,,64.8255,-124.8457,5,0,0,5,,11.13486549082487,,,,,0.0,12406,CAN
Nova Scotia,Canada,,44.682,-63.7443,342,1,0,341,,34.98875142333627,,,,,0.29239766081871343,12407,CAN
Ontario,Canada,,51.2538,-85.3232,5276,174,0,5102,,35.862303166017384,,,,,3.2979529946929493,12408,CAN
Prince Edward Island,Canada,,46.5107,-63.4168,25,0,0,25,,15.806977832294288,,,,,0.0,12409,CAN
Qinghai,China,,35.7452,95.9956,18,0,18,0,,0.29850746268656714,,,,,0.0,15621,CHN
Quebec,Canada,,52.9399,-73.5491,10031,175,0,9856,,117.49101687415097,,,,,1.7445917655268668,12410,CAN
Queensland,Australia,,-27.4698,153.0251,943,4,173,766,,18.43417065780471,,,,,0.4241781548250265,3604,AUS
Recovered,Canada,,,,0,0,4613,-4613,,,,,,,,12415,CAN
Recovered,US,,,,0,0,23865,-23865,,,,,,,,84070001,USA
Reunion,France,,-21.1151,55.5364,362,0,40,322,,40.43301299664473,,,,,0.0,638,REU
Saint Barthelemy,France,,17.9,-62.8333,6,0,1,5,,60.69802731411229,,,,,0.0,652,BLM
Saint Pierre and Miquelon,France,,46.8852,-56.3159,1,0,0,1,,17.25625539257981,,,,,0.0,666,SPM
