Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
French Guiana,France,,4.0,-53.0,72,0,34.0,38.0,,24.10590527718443,,,0.0,254.0,GUF
French Polynesia,France,,-17.6797,-149.4068,42,0,0.0,42.0,,14.951727280494405,,,0.0,258.0,PYF
Fujian,China,,26.0789,117.9874,351,1,305.0,45.0,,0.890636894189292,,,0.2849002849002849,15604.0,CHN
Gansu,China,,37.8099,101.0583,139,2,132.0,5.0,,0.5271141448615851,,,1.4388489208633093,15605.0,CHN
Gibraltar,United Kingdom,,36.1408,-5.3536,113,0,60.0,53.0,,335.4011457065685,,,0.0,292.0,GIB
Greenland,Denmark,,71.7069,-42.6043,11,0,10.0,1.0,,19.375748608468964,,,0.0,304.0,GRL
Guadeloupe,France,,16.265,-61.551,139,7,31.0,101.0,,34.738970376905336,,,5.0359712230215825,312.0,GLP
Guangdong,China,,23.3417,113.4244,1533,8,1401.0,124.0,,1.351136964569011,,,0.5218525766470972,15606.0,CHN
Guangxi,China,,23.8298,108.7881,254,2,252.0,0.0,,0.5156313438895656,,,0.7874015748031497,15607.0,CHN
Guizhou,China,,26.8154,106.8748,146,2,144.0,0.0,,0.40555555555555556,,,1.36986301369863,15608.0,CHN
Hainan,China,,19.1959,109.7453,168,6,162.0,0.0,,1.7987152034261242,,,3.5714285714285716,15609.0,CHN
Hebei,China,,39.549,116.1306,327,6,312.0,9.0,,0.4327686606670196,,,1.834862385321101,15610.0,CHN
Heilongjiang,China,,47.862,127.7615,544,13,469.0,62.0,,1.441823482639809,,,2.389705882352941,15611.0,CHN
Henan,China,,33.882,113.614,1276,22,1252.0,2.0,,1.3284747527329517,,,1.7241379310344827,15612.0,CHN
Hong Kong,China,,22.3,114.2,935,4,216.0,715.0,,12.471675291463718,,,0.42780748663101603,344.0,HKG
Hubei,China,,30.9756,112.2707,67803,3212,64073.0,518.0,,114.59016393442623,,,4.737253513856319,15613.0,CHN
Hunan,China,,27.6104,111.7088,1019,4,1014.0,1.0,,1.4770256558921582,,,0.39254170755642787,15614.0,CHN
Inner Mongolia,China,,44.0935,113.9448,121,1,74.0,46.0,,0.47750591949486976,,,0.8264462809917356,15615.0,CHN
Isle of Man,United Kingdom,,54.2361,-4.5481,150,1,73.0,76.0,,176.40417725091731,,,0.6666666666666666,833.0,IMN
Jiangsu,China,,32.9711,119.455,651,0,633.0,18.0,,0.8085952055645261,,,0.0,15616.0,CHN
Jiangxi,China,,27.614,115.7221,937,1,935.0,1.0,,2.01592082616179,,,0.10672358591248667,15617.0,CHN
Jilin,China,,43.6661,126.1923,98,1,92.0,5.0,,0.3624260355029586,,,1.0204081632653061,15618.0,CHN
Liaoning,China,,41.2956,122.6085,144,2,130.0,12.0,,0.33035099793530626,,,1.3888888888888888,15619.0,CHN
Macau,China,,22.1667,113.55,44,0,10.0,34.0,,6.77609025752223,,,0.0,446.0,MAC
Manitoba,Canada,,53.7609,-98.8139,204,2,0.0,202.0,,14.809254622628977,,,0.9803921568627451,12403.0,CAN
Martinique,France,,14.6415,-61.0242,151,4,50.0,97.0,,40.23823164963426,,,2.6490066225165565,474.0,MTQ
Mayotte,France,,-12.8275,45.166244,164,2,15.0,147.0,,60.11443736185592,,,1.2195121951219512,175.0,MYT
Montserrat,United Kingdom,,16.742498,-62.187366,6,0,0.0,6.0,,120.02400480096018,,,0.0,500.0,MSR
New Brunswick,Canada,,46.5653,-66.4619,103,0,0.0,103.0,,13.20524671375256,,,0.0,12404.0,CAN
New Caledonia,France,,-20.904305,165.618042,18,0,1.0,17.0,,6.304927300685486,,,0.0,540.0,NCL
New South Wales,Australia,,-33.8688,151.2093,2686,21,4.0,2661.0,,33.0869672333087,,,0.7818317200297841,3602.0,AUS
Newfoundland and Labrador,Canada,,53.1355,-57.6604,226,1,0.0,225.0,,43.34775061617101,,,0.4424778761061947,12405.0,CAN
Ningxia,China,,37.2692,106.1655,75,0,75.0,0.0,,1.0901162790697674,,,0.0,15620.0,CHN
Northern Territory,Australia,,-12.4634,130.8456,28,0,2.0,26.0,,11.400651465798045,,,0.0,3603.0,AUS
Northwest Territories,Canada,,64.8255,-124.8457,5,0,0.0,5.0,,11.13486549082487,,,0.0,12406.0,CAN
Nova Scotia,Canada,,44.682,-63.7443,293,0,0.0,293.0,,29.9757431784723,,,0.0,12407.0,CAN
Ontario,Canada,,51.2538,-85.3232,4347,132,0.0,4215.0,,29.547655773820615,,,3.036576949620428,12408.0,CAN
Prince Edward Island,Canada,,46.5107,-63.4168,22,0,0.0,22.0,,13.910140492418973,,,0.0,12409.0,CAN
Qinghai,China,,35.7452,95.9956,18,0,18.0,0.0,,0.29850746268656714,,,0.0,15621.0,CHN
Quebec,Canada,,52.9399,-73.5491,8580,121,0.0,8459.0,,100.49575563555132,,,1.4102564102564104,12410.0,CAN
Queensland,Australia,,-27.4698,153.0251,934,4,173.0,757.0,,18.258234776659172,,,0.4282655246252677,3604.0,AUS
Recovered,Canada,,,,0,0,3613.0,-3613.0,,,,,,12415.0,CAN
Recovered,US,,,,0,0,20003.0,-20003.0,,,,,,84070001.0,USA
