Country_Region,Case_Type,Date,Cases,Table Names,Difference,Prep_Flow_Runtime,Latest_Date,Province_State,Lat,Long
US,Deaths,2/21/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/12/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/2/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/8/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/5/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/6/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,1/28/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/24/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/12/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/6/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/29/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/19/2020,11,Time Series,2,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,1/31/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/10/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/24/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/7/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/7/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/6/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,1/29/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,1/23/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/14/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/16/2020,5,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/11/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,1/25/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/26/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/16/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/13/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/21/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/8/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,1/31/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
