Province/State,Country/Region,Lat,Long,1/21/20 22:00,1/22/20 12:00,1/23/20 12:00,1/24/20 0:00,1/24/20 12:00,1/25/20 0:00,1/25/20 12:00,1/25/20 22:00,1/26/20 11:00,1/26/20 23:00,1/27/20 9:00,1/27/20 19:00,1/27/20 20:30,1/28/20 13:00,1/28/20 18:00,1/28/20 23:00,1/29/20 13:30,1/29/20 14:30,1/29/20 21:00,1/30/20 11:00,1/31/20 14:00,2/1/20 10:00,2/2/20 21:00,2/3/20 21:00,2/4/20 9:40,2/4/20 22:00,2/5/20 9:00,2/5/20 23:00,2/6/20 9:00,2/6/20 14:20,2/7/20 20:13,2/7/20 22:50,2/8/20 22:04,2/8/20 23:04,2/9/20 10:30,2/9/20 23:20,2/10/20 10:30,2/10/20 19:30,2/11/20 10:50
Macau,Macau,22.1987,113.5439,,1,2,2,2,2,2,2,5,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hong Kong,Hong Kong,22.3193,114.1694,,,2,2,2,5,5,5,8,8,8,8,8,8,8,8,10,10,10,10,12,13,15,15,15,18,21,21,21,24,25,26,26,26,29,36,38,38,49
,Singapore,1.3521,103.8198,,,1,1,3,3,3,3,4,4,4,5,5,7,7,7,7,7,10,10,13,18,18,18,18,24,24,28,28,28,30,30,33,40,40,43,43,45,45
,Vietnam,21.0278,105.8342,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,8,8,8,8,10,10,10,10,10,13,13,13,14,14,14,15
,France,46.2276,2.2137,,,,,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11
,Nepal,28.3949,84.124,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Malaysia,4.2105,101.9758,,,,,,3,3,3,4,4,4,4,4,4,4,7,7,7,7,8,8,8,8,8,8,10,10,12,12,12,12,12,16,16,16,18,18,18,18
"Toronto, ON",Canada,43.6532,-79.3832,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
British Columbia,Canada,49.2827,-123.121,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4
"Orange, CA",US,33.7879,-117.8531,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Los Angeles, CA",US,34.0522,-118.2437,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New South Wales,Australia,-33.8688,151.2093,,,,,,,,,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Victoria,Australia,-37.8136,144.9631,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Queensland,Australia,-27.4698,153.0251,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5
,Cambodia,12.5657,104.991,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Sri Lanka,7.8731,80.7718,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Germany,51.1657,10.4515,,,,,,,,,,,,,1,1,4,4,4,4,4,4,5,7,10,10,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14
