Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
Tibet,Mainland China,2020-02-01T01:52:40,31.6927,88.0924,1,0,0
,Nepal,2020-01-31T08:15:53,28.1667,84.2500,1,0,0
,Spain,2020-02-01T23:43:02,28.2916,-16.6291,1,0,0
,Sri Lanka,2020-01-31T08:15:53,7.0000,81.0000,1,0,0
,Sweden,2020-02-01T02:13:26,63.0000,16.0000,1,0,0
"Boston, MA",US,2020-02-01T19:43:03,42.3601,-71.0589,1,0,0
"Los Angeles, CA",US,2020-02-01T19:53:03,34.0522,-118.2437,1,0,0
"Madison, WI",US,2020-02-05T21:53:02,43.0731,-89.4012,1,0,0
"Orange, CA",US,2020-02-01T19:53:03,33.7879,-117.8531,1,0,0
"Seattle, WA",US,2020-02-01T19:43:03,47.6062,-122.3321,1,0,0
"Tempe, AZ",US,2020-02-01T19:43:03,33.4255,-111.9400,1,0,0
