cnty	ProvinceState	CountryRegion	reportdt	latfill	longfill	confirmed	deaths	recovered	statename
(null)	"King County, WA"	"US"	"2020-03-02"	47.548000000000000	-121.983600000000000	14	5	1	"Washington"
(null)	"Grant County, WA"	"US"	"2020-03-05"	47.198100000000000	-119.373200000000000	4	0	0	"Washington"
(null)	"King County, WA"	"US"	"2020-03-03"	47.548000000000000	-121.983600000000000	21	6	1	"Washington"
(null)	"Snohomish County, WA"	"US"	"2020-03-02"	48.033000000000000	-121.833900000000000	4	1	0	"Washington"
(null)	"Grant County, WA"	"US"	"2020-03-09"	47.198100000000000	-119.373200000000000	1	1	0	"Washington"
(null)	"Clark County, WA"	"US"	"2020-03-07"	45.746600000000000	-122.519400000000000	3	0	0	"Washington"
(null)	"Snohomish County, WA"	"US"	"2020-03-01"	48.033000000000000	-121.833900000000000	2	0	0	"Washington"
(null)	"Snohomish County, WA"	"US"	"2020-02-29"	48.033000000000000	-121.833900000000000	1	0	0	"Washington"
(null)	"Seattle, WA"	"US"	"2020-02-29"	47.606200000000000	-122.332100000000000	6	1	1	"Washington"
(null)	"Seattle, WA"	"US"	"2020-02-01"	47.606200000000000	-122.332100000000000	8	0	0	"Washington"
(null)	"Spokane County, WA"	"US"	"2020-03-08"	47.658700000000000	-117.422500000000000	2	0	0	"Washington"
(null)	"Snohomish County, WA"	"US"	"2020-03-06"	48.033000000000000	-121.833900000000000	19	1	0	"Washington"
(null)	"Snohomish County, WA"	"US"	"2020-03-07"	48.033000000000000	-121.833900000000000	27	1	0	"Washington"
(null)	"King County, WA"	"US"	"2020-03-04"	47.548000000000000	-121.983600000000000	31	9	1	"Washington"
(null)	"Seattle, WA"	"US"	"2020-02-09"	47.606200000000000	-122.332100000000000	20	0	20	"Washington"
(null)	"King County, WA"	"US"	"2020-03-05"	47.548000000000000	-121.983600000000000	51	10	1	"Washington"
(null)	"King County, WA"	"US"	"2020-03-06"	47.548000000000000	-121.983600000000000	58	12	1	"Washington"
(null)	"Jefferson County, WA"	"US"	"2020-03-07"	47.742500000000000	-123.304000000000000	3	0	0	"Washington"
(null)	"Pierce County, WA"	"US"	"2020-03-07"	47.067600000000000	-122.129500000000000	1	0	0	"Washington"
(null)	"Seattle, WA"	"US"	"2020-03-01"	47.606200000000000	-122.332100000000000	9	1	1	"Washington"
(null)	"Snohomish County, WA"	"US"	"2020-03-08"	48.033000000000000	-121.833900000000000	62	2	0	"Washington"
(null)	"King County, WA"	"US"	"2020-03-08"	47.548000000000000	-121.983600000000000	166	34	2	"Washington"
(null)	"Snohomish County, WA"	"US"	"2020-03-05"	48.033000000000000	-121.833900000000000	18	1	0	"Washington"
(null)	"Pierce County, WA"	"US"	"2020-03-08"	47.067600000000000	-122.129500000000000	8	0	0	"Washington"
(null)	"Snohomish County, WA"	"US"	"2020-03-04"	48.033000000000000	-121.833900000000000	8	1	0	"Washington"
(null)	"Kittitas County, WA"	"US"	"2020-03-08"	47.175000000000000	-120.931900000000000	2	0	0	"Washington"
(null)	"Snohomish County, WA"	"US"	"2020-03-03"	48.033000000000000	-121.833900000000000	6	1	0	"Washington"
(null)	"King County, WA"	"US"	"2020-03-07"	47.548000000000000	-121.983600000000000	71	15	1	"Washington"
(null)	"Unassigned Location, WA"	"US"	"2020-03-06"	47.751100000000000	-120.740100000000000	20	0	0	"Washington"
