cnty	ProvinceState	CountryRegion	reportdt	latfill	longfill	confirmed	deaths	recovered
(null)	"Sichuan"	"China"	"2020-03-09"	30.617100000000000	102.710300000000000	539	3	466
"Marion"	"West Virginia"	"US"	"2020-03-31"	40.519438590000000	-77.860141470000000	5	1	0
"Clinton"	"Missouri"	"US"	"2020-04-03"	40.479455880000000	0E-15	6	0	0
"Stephens"	"Oklahoma"	"US"	"2020-04-01"	36.835326550000000	0E-15	6	0	0
"Kewaunee"	"Wisconsin"	"US"	"2020-03-29"	46.528687680000000	0E-15	0	0	0
(null)	(null)	"Poland"	"2020-03-06"	51.919400000000000	19.145100000000000	10	0	0
(null)	"Shanghai"	"China"	"2020-02-24"	31.202000000000000	121.449100000000000	335	3	261
"Sunflower"	"Mississippi"	"US"	"2020-04-03"	34.880844630000000	0E-15	13	1	0
"Crawford"	"Michigan"	"US"	"2020-03-25"	47.631976530000000	0E-15	0	0	0
(null)	(null)	"Andorra"	"2020-03-23"	42.506300000000000	1.521800000000000	133	1	1
"Worth"	"Missouri"	"US"	"2020-03-22"	40.479455880000000	0E-15	0	0	0
(null)	"Shanghai"	"China"	"2020-02-11"	31.202000000000000	121.449100000000000	303	1	52
"Clinton"	"Missouri"	"US"	"2020-03-26"	40.479455880000000	0E-15	1	0	0
"Saguache"	"Colorado"	"US"	"2020-04-03"	40.875954120000000	0E-15	3	0	0
"Bollinger"	"Missouri"	"US"	"2020-03-23"	40.479455880000000	0E-15	0	0	0
(null)	"Shanghai"	"China"	"2020-03-08"	31.202000000000000	121.449100000000000	342	3	314
"Grenada"	"Mississippi"	"US"	"2020-03-23"	34.880844630000000	0E-15	2	0	0
"Cowlitz"	"Washington"	"US"	"2020-04-03"	48.822279760000000	0E-15	18	0	0
"Humphreys"	"Mississippi"	"US"	"2020-03-23"	34.880844630000000	0E-15	1	0	0
"Turner"	"South Dakota"	"US"	"2020-04-02"	45.770749150000000	-96.655782800000000	2	0	0
"Greene"	"Indiana"	"US"	"2020-03-31"	41.644238680000000	0E-15	2	0	0
"Henrico"	"Virginia"	"US"	"2020-03-28"	39.201725820000000	0E-15	31	2	0
"Herkimer"	"New York"	"US"	"2020-04-01"	44.745309050000000	0E-15	12	2	0
"Emporia"	"Virginia"	"US"	"2020-04-03"	39.201725820000000	0E-15	1	0	0
"Pickett"	"Tennessee"	"US"	"2020-03-27"	36.556065290000000	0E-15	0	0	0
(null)	"Sichuan"	"China"	"2020-01-30"	30.617100000000000	102.710300000000000	142	1	1
"Collin"	"Texas"	"US"	"2020-03-22"	36.278291050000000	-93.744088130000000	38	1	0
"Piatt"	"Illinois"	"US"	"2020-03-25"	42.365423730000000	0E-15	0	0	0
(null)	"Shaanxi"	"China"	"2020-03-24"	35.191700000000000	108.870100000000000	249	3	240
"LaSalle"	"Illinois"	"US"	"2020-04-03"	42.365423730000000	0E-15	6	1	0
"Cherokee"	"Iowa"	"US"	"2020-03-27"	43.381078620000000	0E-15	0	0	0
"Elk"	"Kansas"	"US"	"2020-03-24"	39.827996320000000	-94.763782250000000	0	0	0
"Kodiak Island"	"Alaska"	"US"	"2020-03-24"	69.314792160000000	0E-15	0	0	0
"Grant"	"Oregon"	"US"	"2020-03-29"	45.997128890000000	-117.183537999999980	1	0	0
"Centre"	"Pennsylvania"	"US"	"2020-03-29"	41.992538290000000	-75.032081060000000	22	0	0
"Duplin"	"North Carolina"	"US"	"2020-03-24"	36.493608620000000	0E-15	1	0	0
"Hudspeth"	"Texas"	"US"	"2020-03-26"	36.278291050000000	-93.744088130000000	0	0	0
"Berkeley"	"South Carolina"	"US"	"2020-04-02"	35.051222510000000	-78.995552930000000	33	0	0
"Horry"	"South Carolina"	"US"	"2020-04-01"	35.051222510000000	-78.995552930000000	42	3	0
"De Soto"	"Louisiana"	"US"	"2020-04-03"	32.831210590000000	0E-15	46	2	0
"Dooly"	"Georgia"	"US"	"2020-03-23"	34.913691880000000	0E-15	0	0	0
(null)	"Liaoning"	"China"	"2020-03-12"	41.295600000000000	122.608500000000000	250	2	224
"Worcester"	"Maryland"	"US"	"2020-04-01"	39.623576280000000	0E-15	4	0	0
(null)	(null)	"Slovenia"	"2020-03-31"	46.151200000000000	14.995500000000000	802	15	10
"Wakulla"	"Florida"	"US"	"2020-03-28"	30.867474790000000	0E-15	0	0	0
"Talladega"	"Alabama"	"US"	"2020-03-29"	34.901718750000000	0E-15	4	0	0
"Hampton"	"Virginia"	"US"	"2020-03-23"	39.201725820000000	0E-15	0	0	0
"Calloway"	"Kentucky"	"US"	"2020-03-24"	38.970651420000000	0E-15	1	0	0
"Creek"	"Oklahoma"	"US"	"2020-03-25"	36.835326550000000	0E-15	5	0	0
"Camden"	"New Jersey"	"US"	"2020-04-03"	41.138915920000000	0E-15	406	7	0
"Ector"	"Texas"	"US"	"2020-03-27"	36.278291050000000	-93.744088130000000	0	0	0
"Mifflin"	"Pennsylvania"	"US"	"2020-04-01"	41.992538290000000	-75.032081060000000	1	0	0
"Clarke"	"Mississippi"	"US"	"2020-03-23"	34.880844630000000	0E-15	0	0	0
"Hamilton"	"Ohio"	"US"	"2020-04-02"	41.708603320000000	-80.748302180000000	178	2	0
"Oceana"	"Michigan"	"US"	"2020-03-28"	47.631976530000000	0E-15	1	0	0
"Russell"	"Alabama"	"US"	"2020-03-28"	34.901718750000000	0E-15	1	0	0
