Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Iran,2021-06-30 11:21:36,32.427908,53.68804599999999,3192809.0,84127.0,2862261,246421,3801.2819956455155,,,2.634889841515731,364,IRN
Iraq,2021-06-30 11:21:36,33.223191,43.679291,1338604.0,17156.0,1240978,80470,3327.997762844346,,,1.2816337019760886,368,IRQ
Ireland,2021-06-30 11:21:36,53.1424,-7.6921,271931.0,4989.0,23364,243578,5507.133141992906,,,1.8346565856779844,372,IRL
Israel,2021-06-30 11:21:36,31.046051000000002,34.851612,841610.0,6429.0,833317,1864,9723.366800526968,,,0.7638930145791993,376,ISR
Italy,2021-06-30 11:21:36,41.8719,12.5674,4259133.0,127542.0,4078767,52824,7044.333823317416,,,2.9945531167963058,380,ITA
Jamaica,2021-06-30 11:21:36,18.1096,-77.2975,50080.0,1065.0,29957,19058,1691.228541778039,,,2.126597444089457,388,JAM
Japan,2021-06-30 11:21:36,36.204824,138.252924,800271.0,14727.0,766460,19084,632.743051675277,,,1.8402516147654981,392,JPN
Jordan,2021-06-30 11:21:36,31.24,36.51,750886.0,9743.0,734634,6509,7359.361921918155,,,1.2975338466824524,400,JOR
Kazakhstan,2021-06-30 11:21:36,48.0196,66.9237,480162.0,3527.0,447545,29090,2557.2215617999473,,,0.7345437581482916,398,KAZ
Kenya,2021-06-30 11:21:36,-0.0236,37.9062,183603.0,3621.0,125388,54594,341.4516665953771,,,1.9721899968954755,404,KEN
Kiribati,2021-06-30 11:21:36,-3.3704,-168.734,2.0,0.0,,2,1.7005935071339897,,,0.0,296,KIR
"Korea, South",2021-06-30 11:21:36,35.907757000000004,127.766922,156961.0,2018.0,147693,7250,306.1507728726631,,,1.2856696886487726,410,KOR
Kosovo,2021-06-30 11:21:36,42.602636,20.902977,107335.0,2262.0,105099,-26,5928.911612348001,,,2.107420692225276,383,XKS
Kuwait,2021-06-30 11:21:36,29.311659999999996,47.481766,354851.0,1961.0,334445,18445,8309.232295601307,,,0.5526263135795024,414,KWT
Kyrgyzstan,2021-06-30 11:21:36,41.20438,74.766098,125003.0,2000.0,110082,12921,1915.9923429586902,,,1.5999616009215778,417,KGZ
Laos,2021-06-30 11:21:36,19.856270000000002,102.495496,2121.0,3.0,1986,132,29.152411169675556,,,0.14144271570014144,418,LAO
Latvia,2021-06-30 11:21:36,56.8796,24.6032,137429.0,2513.0,133928,988,7286.017086186951,,,1.8285805761520495,428,LVA
Lebanon,2021-06-30 11:21:36,33.8547,35.8623,544705.0,7848.0,532429,4428,7980.508808074261,,,1.4407798716736582,422,LBN
Lesotho,2021-06-30 11:21:36,-29.61,28.2336,11344.0,329.0,6447,4568,529.5362076917188,,,2.9002115655853316,426,LSO
Liberia,2021-06-30 11:21:36,6.4280550000000005,-9.429499,3900.0,127.0,2315,1458,77.11049954356515,,,3.2564102564102564,430,LBR
Libya,2021-06-30 11:21:36,26.3351,17.228331,193474.0,3193.0,178387,11894,2815.6879489970365,,,1.6503509515490453,434,LBY
Liechtenstein,2021-06-30 11:21:36,47.14,9.55,3034.0,59.0,2959,16,7955.528751606052,,,1.944627554383652,438,LIE
Lithuania,2021-06-30 11:21:36,55.1694,23.8813,278769.0,4383.0,267636,6750,10240.235154875067,,,1.5722695134681404,440,LTU
Luxembourg,2021-06-30 11:21:36,49.8153,6.1296,70695.0,818.0,69683,194,11293.563970503661,,,1.1570832449253836,442,LUX
MS Zaandam,2021-06-30 11:21:36,,,9.0,2.0,7,0,,,,22.22222222222222,8888,
Madagascar,2021-06-30 11:21:36,-18.766947000000002,46.869107,42207.0,911.0,40610,686,152.42125975934653,,,2.1584097424597815,450,MDG
Malawi,2021-06-30 11:21:36,-13.2543,34.3015,35897.0,1194.0,33132,1571,187.6481152203442,,,3.3261832465108503,454,MWI
Malaysia,2021-06-30 11:21:36,4.210483999999999,101.97576600000001,751979.0,5170.0,682680,64129,2323.3610778817942,,,0.6875191993393432,458,MYS
Maldives,2021-06-30 11:21:36,3.2028,73.2207,73660.0,210.0,69623,3827,13627.06320692934,,,0.28509367363562316,462,MDV
Mali,2021-06-30 11:21:36,17.570692,-3.9961660000000006,14422.0,525.0,10059,3838,71.2168200084994,,,3.6402718069615863,466,MLI
Malta,2021-06-30 11:21:36,35.9375,14.3754,30623.0,420.0,30158,45,6935.514190139489,,,1.3715181399601606,470,MLT
Marshall Islands,2021-06-30 11:21:36,7.1315,171.1845,4.0,0.0,4,0,6.847790731515245,,,0.0,584,MHL
Mauritania,2021-06-30 11:21:36,21.0079,-10.9408,20747.0,487.0,19756,504,446.2046687284662,,,2.347327324432448,478,MRT
Mauritius,2021-06-30 11:21:36,-20.348404000000002,57.552152,1833.0,18.0,1411,404,144.13017478830636,,,0.9819967266775778,480,MUS
Mexico,2021-06-30 11:21:36,23.6345,-102.5528,2513164.0,232803.0,1997381,282980,1966.6007070254616,,,9.263342941407723,484,MEX
Micronesia,2021-06-30 11:21:36,7.4256,150.5508,1.0,0.0,1,0,0.8786188112287484,,,0.0,583,FSM
Moldova,2021-06-30 11:21:36,47.4116,28.3699,256669.0,6191.0,249643,835,6362.700897355777,,,2.4120559942961557,498,MDA
Monaco,2021-06-30 11:21:36,43.7333,7.4167,2576.0,33.0,2515,28,6564.060748139843,,,1.281055900621118,492,MCO
Mongolia,2021-06-30 11:21:36,46.8625,103.8467,115478.0,563.0,76654,38261,3522.505011756122,,,0.48753875197007224,496,MNG
Montenegro,2021-06-30 11:21:36,42.708678000000006,19.37439,100230.0,1610.0,98340,280,15958.61555069404,,,1.606305497356081,499,MNE
Morocco,2021-06-30 11:21:36,31.7917,-7.0926,530585.0,9292.0,517059,4234,1437.4884281077518,,,1.7512745365963984,504,MAR
Mozambique,2021-06-30 11:21:36,-18.665695,35.529562,75828.0,872.0,71186,3770,242.6074057199972,,,1.1499709869705121,508,MOZ
Namibia,2021-06-30 11:21:36,-22.9576,18.4904,86649.0,1445.0,64900,20304,3410.148151296619,,,1.6676476358642338,516,NAM
Nepal,2021-06-30 11:21:36,28.1667,84.25,636916.0,9071.0,592535,35310,2185.9498130337406,,,1.424206645774325,524,NPL
Netherlands,2021-06-30 11:21:36,52.3167,5.55,1712100.0,18028.0,27337,1666735,9991.903645857194,,,1.0529758775772444,528,NLD
