Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Metropolitana,Chile,2021-04-15 06:30:33,-33.4376,-70.6505,457893,13386,428687,15820.0,,6437.584143983642,,,2.923390399067031,15212,CHL,,
Nuble,Chile,2021-04-15 06:30:33,-36.7226,-71.7622,23676,429,22195,1052.0,,4926.24982054019,,,1.8119614799797263,15213,CHL,,
OHiggins,Chile,2021-04-15 06:30:33,-34.5755,-71.0022,43230,959,40045,2226.0,,4726.889033464362,,,2.2183668748554246,15214,CHL,,
Tarapaca,Chile,2021-04-15 06:30:33,-19.9232,-69.5132,31234,567,29566,1101.0,,9448.871302464318,,,1.815329448677723,15215,CHL,,
Unknown,Chile,2021-04-15 06:30:33,,,51,1,46,4.0,,,,,1.9607843137254901,15217,CHL,,
Valparaiso,Chile,2021-04-15 06:30:33,-33.0472,-71.6127,75752,2059,69551,4142.0,,4171.590757651019,,,2.718080050691731,15216,CHL,,
Anhui,China,2021-04-15 06:30:33,31.8257,117.2264,994,6,988,0.0,,1.5717900063251107,,,0.6036217303822937,15601,CHN,,
Beijing,China,2021-04-15 06:30:33,40.1824,116.4142,1057,9,1038,10.0,,4.907149489322191,,,0.8514664143803217,15602,CHN,,
Chongqing,China,2021-04-15 06:30:33,30.0572,107.874,591,6,585,0.0,,1.9052224371373307,,,1.015228426395939,15603,CHN,,
Fujian,China,2021-04-15 06:30:33,26.0789,117.9874,582,1,556,25.0,,1.476782542501903,,,0.1718213058419244,15604,CHN,,
Gansu,China,2021-04-15 06:30:33,35.7518,104.2861,193,2,190,1.0,,0.7318923018581721,,,1.0362694300518134,15605,CHN,,
Guangdong,China,2021-04-15 06:30:33,23.3417,113.4244,2308,8,2256,44.0,,2.034197073858629,,,0.3466204506065858,15606,CHN,,
Guangxi,China,2021-04-15 06:30:33,23.8298,108.7881,270,2,265,3.0,,0.5481120584652862,,,0.7407407407407407,15607,CHN,,
Guizhou,China,2021-04-15 06:30:33,26.8154,106.8748,147,2,145,0.0,,0.4083333333333333,,,1.3605442176870748,15608,CHN,,
Hainan,China,2021-04-15 06:30:33,19.1959,109.7453,171,6,165,0.0,,1.8308351177730193,,,3.508771929824561,15609,CHN,,
Hebei,China,2021-04-15 06:30:33,37.8957,114.9042,1317,7,1310,0.0,,1.742985706723134,,,0.5315110098709187,15610,CHN,,
Heilongjiang,China,2021-04-15 06:30:33,47.861999999999995,127.7615,1610,13,1597,0.0,,4.267161410018553,,,0.8074534161490683,15611,CHN,,
Henan,China,2021-04-15 06:30:33,33.882,113.61399999999999,1311,22,1284,5.0,,1.3649141072358146,,,1.6781083142639206,15612,CHN,,
Hong Kong,China,2021-04-15 06:30:33,22.3,114.2,11612,209,11237,166.0,,154.88887003687347,,,1.7998622115053393,344,HKG,,
Hubei,China,2021-04-15 06:30:33,30.9756,112.2707,68155,4512,63640,3.0,,115.18505999661991,,,6.620203946885775,15613,CHN,,
Hunan,China,2021-04-15 06:30:33,27.6104,111.7088,1044,4,1035,5.0,,1.5132627917089434,,,0.3831417624521073,15614,CHN,,
Inner Mongolia,China,2021-04-15 06:30:33,44.0935,113.9448,377,1,374,2.0,,1.4877663772691396,,,0.26525198938992045,15615,CHN,,
Jiangsu,China,2021-04-15 06:30:33,32.9711,119.455,716,0,708,8.0,,0.8893305179480809,,,0.0,15616,CHN,,
Jiangxi,China,2021-04-15 06:30:33,27.614,115.7221,937,1,936,0.0,,2.01592082616179,,,0.10672358591248667,15617,CHN,,
Jilin,China,2021-04-15 06:30:33,43.6661,126.1923,573,3,570,0.0,,2.1190828402366866,,,0.5235602094240838,15618,CHN,,
Liaoning,China,2021-04-15 06:30:33,41.2956,122.6085,408,2,405,1.0,,0.9359944941500344,,,0.49019607843137253,15619,CHN,,
Macau,China,2021-04-15 06:30:33,22.1667,113.55,49,0,48,1.0,,7.546100514058847,,,0.0,446,MAC,,
Ningxia,China,2021-04-15 06:30:33,37.2692,106.1655,75,0,75,0.0,,1.0901162790697674,,,0.0,15620,CHN,,
Qinghai,China,2021-04-15 06:30:33,35.7452,95.9956,18,0,18,0.0,,0.29850746268656714,,,0.0,15621,CHN,,
Shaanxi,China,2021-04-15 06:30:33,35.1917,108.8701,578,3,562,13.0,,1.4958592132505175,,,0.5190311418685121,15622,CHN,,
Shandong,China,2021-04-15 06:30:33,36.3427,118.1498,873,7,862,4.0,,0.8689160943565243,,,0.8018327605956472,15623,CHN,,
Shanghai,China,2021-04-15 06:30:33,31.201999999999998,121.4491,1934,7,1872,55.0,,7.978547854785479,,,0.3619441571871768,15624,CHN,,
Shanxi,China,2021-04-15 06:30:33,37.5777,112.2922,249,0,240,9.0,,0.6697149004841313,,,0.0,15625,CHN,,
Sichuan,China,2021-04-15 06:30:33,30.6171,102.7103,959,3,940,16.0,,1.1497422371418295,,,0.31282586027111575,15626,CHN,,
Tianjin,China,2021-04-15 06:30:33,39.3054,117.323,377,3,369,5.0,,2.4166666666666665,,,0.7957559681697612,15627,CHN,,
Tibet,China,2021-04-15 06:30:33,31.6927,88.0924,1,0,1,0.0,,0.029069767441860465,,,0.0,15628,CHN,,
Unknown,China,2021-04-15 06:30:33,,,0,0,3,-3.0,,,,,,15699,CHN,,
Xinjiang,China,2021-04-15 06:30:33,41.1129,85.2401,980,3,977,0.0,,3.9404905508644954,,,0.30612244897959184,15629,CHN,,
Yunnan,China,2021-04-15 06:30:33,24.974,101.48700000000001,325,2,238,85.0,,0.6728778467908902,,,0.6153846153846154,15630,CHN,,
Zhejiang,China,2021-04-15 06:30:33,29.1832,120.0934,1327,1,1320,6.0,,2.3130556039742025,,,0.07535795026375283,15631,CHN,,
Amazonas,Colombia,2021-04-15 06:30:33,-1.4429,-71.5724,5992,227,5719,46.0,,7823.577798378357,,,3.788384512683578,17001,COL,,
Antioquia,Colombia,2021-04-15 06:30:33,7.1986,-75.3412,420365,7879,383713,28773.0,,6560.922551256403,,,1.8743235045734064,17002,COL,,
Arauca,Colombia,2021-04-15 06:30:33,7.0762,-70.7105,5937,179,5590,168.0,,2264.526612097309,,,3.0149907360619843,17003,COL,,
Atlantico,Colombia,2021-04-15 06:30:33,10.6966,-74.8741,192724,5349,174200,13175.0,,7600.974475816964,,,2.775471658952699,17004,COL,,
Bolivar,Colombia,2021-04-15 06:30:33,8.6704,-74.03,72888,1443,70048,1397.0,,3520.97231548082,,,1.9797497530457688,17005,COL,,
Boyaca,Colombia,2021-04-15 06:30:33,5.4545,-73.362,49548,1181,47343,1024.0,,4070.0654522513996,,,2.383547267296359,17006,COL,,
Caldas,Colombia,2021-04-15 06:30:33,5.2983,-75.2479,53881,1061,50423,2397.0,,5397.518670079288,,,1.9691542473228039,17007,COL,,
Capital District,Colombia,2021-04-15 06:30:33,4.711,-74.0721,720680,14772,678296,27612.0,,9722.409216997192,,,2.0497308097907534,17008,COL,,
Caqueta,Colombia,2021-04-15 06:30:33,0.8699,-73.8419,17272,652,16427,193.0,,4301.985857644917,,,3.774895785085688,17009,COL,,
Casanare,Colombia,2021-04-15 06:30:33,5.7589,-71.5724,13565,315,12879,371.0,,3225.890835758994,,,2.3221525985993363,17010,COL,,
Cauca,Colombia,2021-04-15 06:30:33,2.705,-76.82600000000001,28897,791,27431,675.0,,1973.1810707906109,,,2.737308371111188,17011,COL,,
Cesar,Colombia,2021-04-15 06:30:33,9.3373,-73.6536,46593,1299,43976,1318.0,,3880.893639209245,,,2.7879724422123493,17012,COL,,
Choco,Colombia,2021-04-15 06:30:33,5.2528,-76.82600000000001,7070,208,6652,210.0,,1321.9252616738902,,,2.942008486562942,17013,COL,,
Cordoba,Colombia,2021-04-15 06:30:33,8.0493,-75.574,46468,2109,42919,1440.0,,2603.5658116420877,,,4.538607213566325,17014,COL,,
Cundinamarca,Colombia,2021-04-15 06:30:33,5.026,-74.03,115364,3135,109956,2273.0,,3952.094167300432,,,2.717485524080302,17015,COL,,
Guainia,Colombia,2021-04-15 06:30:33,2.5854,-68.5247,1368,22,1316,30.0,,2843.2472876917323,,,1.608187134502924,17016,COL,,
Guaviare,Colombia,2021-04-15 06:30:33,1.0654,-73.2603,2305,40,2257,8.0,,2784.92635953943,,,1.735357917570499,17017,COL,,
Huila,Colombia,2021-04-15 06:30:33,2.5359,-75.5277,51867,1815,49452,600.0,,4713.527798427097,,,3.4993348371797097,17018,COL,,
La Guajira,Colombia,2021-04-15 06:30:33,11.3548,-72.5205,21875,742,20053,1080.0,,2484.2145907149998,,,3.392,17019,COL,,
Magdalena,Colombia,2021-04-15 06:30:33,10.4113,-74.4057,50511,1883,46659,1969.0,,3764.572430251329,,,3.7279008532794835,17020,COL,,
Meta,Colombia,2021-04-15 06:30:33,3.272,-73.0877,44707,1024,43065,618.0,,4299.899396184749,,,2.2904690540631223,17021,COL,,
Narino,Colombia,2021-04-15 06:30:33,1.2892,-77.3579,51277,1721,48481,1075.0,,3144.68610173483,,,3.3562805936384734,17022,COL,,
